"Name","Product","Version","LicenseKey","ApiVersion","ConnectionState","PowerState","Cluster","vCenter","Metric","NumCPU","NumCores","NumThreads","VMCount"
"vmesxdrs08.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","MM037-FW25J-E8M80-0D9H4-8RRN1","6.7.3","Connected","PoweredOn","BBSNDVMDRSCL1","vcsadrs01","cpuPackage","2","16","32","5"
"vmesxdrs11.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","MM037-FW25J-E8M80-0D9H4-8RRN1","6.7.3","Connected","PoweredOn","BBSNDVMDRSCL1","vcsadrs01","cpuPackage","2","16","32","20"
"vmesxdrs07.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","152A5-AW051-T8F8X-0U382-0102J","6.7.3","Connected","PoweredOn","BBSNDVMDRSCL1","vcsadrs01","cpuPackage","2","16","32","12"
"vmesxdrs09.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","MM037-FW25J-E8M80-0D9H4-8RRN1","6.7.3","Connected","PoweredOn","BBSNDVMDRSCL1","vcsadrs01","cpuPackage","2","16","32","9"
"vmesxdrs03.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","152A5-AW051-T8F8X-0U382-0102J","6.7.3","Maintenance","PoweredOn","Standby_Hosts","vcsadrs01","cpuPackage","2","16","32","0"
"vmesxdrs05.mercantile.co.za","Product Evaluation","6.7.0","00000-00000-00000-00000-00000","6.7.3","Maintenance","PoweredOn","Standby_Hosts","vcsadrs01","","2","16","32","0"
"vmesxdrs10.mercantile.co.za","Product Evaluation","6.7.0","00000-00000-00000-00000-00000","6.7.3","Maintenance","PoweredOn","Standby_Hosts","vcsadrs01","","2","16","32","0"
"vmesxdrs04.mercantile.co.za","VMware vSphere 6 Standard","6.7.0","152A5-AW051-T8F8X-0U382-0102J","6.7.3","Maintenance","PoweredOn","Standby_Hosts","vcsadrs01","cpuPackage","2","16","32","0"
